Date,AAPL,AMZN,GOOG,MSFT,TSLA
2018-01-02,40.47983169555664,59.45050048828125,53.05935287475586,79.63351440429688,21.368667602539062
2018-01-03,40.47279739379883,60.209999084472656,53.93022537231445,80.00411987304688,21.149999618530273
2018-01-04,40.66078567504883,60.47949981689453,54.125518798828125,80.70825958251953,20.974666595458984
2018-01-05,41.123714447021484,61.457000732421875,54.914188385009766,81.70890045166016,21.10533332824707
2018-01-08,40.97097396850586,62.34349822998047,55.14884567260742,81.79228973388672,22.42733383178711
2018-01-09,40.966278076171875,62.6349983215332,55.11496353149414,81.7366943359375,22.246000289916992
2018-01-10,40.956878662109375,62.71649932861328,54.93312072753906,81.3660888671875,22.31999969482422
2018-01-11,41.189510345458984,63.83399963378906,55.07809829711914,81.60699462890625,22.530000686645508
2018-01-12,41.61485290527344,65.26000213623047,55.91210174560547,83.0152816772461,22.4146671295166
2018-01-16,41.40336608886719,65.24299621582031,55.8871955871582,81.85713195800781,22.67066764831543
2018-01-17,42.08719253540039,64.75,56.3963623046875,83.51559448242188,23.143999099731445
2018-01-18,42.124794006347656,64.66600036621094,56.28725051879883,83.47852325439453,22.971332550048828
2018-01-19,41.936798095703125,64.72899627685547,56.671875,83.38587188720703,23.334667205810547
2018-01-22,41.59370803833008,66.3655014038086,57.58359909057617,84.87757873535156,23.437332153320312
2018-01-23,41.60309982299805,68.12699890136719,58.2890625,85.14625549316406,23.519332885742188
2018-01-24,40.940433502197266,67.87550354003906,58.00358963012695,85.0721206665039,23.05933380126953
2018-01-25,40.2096061706543,68.89749908447266,58.308990478515625,85.54467010498047,22.50933265686035
2018-01-26,40.3035888671875,70.10250091552734,58.581512451171875,87.14749908447266,22.856666564941406
2018-01-29,39.469364166259766,70.88400268554688,58.56855773925781,87.01778411865234,23.302000045776367
2018-01-30,39.23672866821289,71.89099884033203,57.97618865966797,85.92453002929688,23.05466651916504
2018-01-31,39.34482955932617,72.54450225830078,58.287567138671875,88.02770233154297,23.62066650390625
2018-02-01,39.42707443237305,69.5,58.17596435546875,87.33281707763672,23.28333282470703
2018-02-02,37.716331481933594,71.49749755859375,55.39595413208008,85.0350570678711,22.916667938232422
2018-02-05,36.774009704589844,69.5,52.60099792480469,81.53282928466797,22.208667755126953
2018-02-06,38.31086349487305,72.14199829101562,53.8365592956543,84.61815643310547,22.264667510986328
2018-02-07,37.49073028564453,70.83899688720703,52.24129104614258,83.0245361328125,23.0
2018-02-08,36.4591178894043,67.5250015258789,49.8967170715332,78.76258087158203,21.01533317565918
2018-02-09,36.90507125854492,66.9800033569336,51.703224182128906,81.69963073730469,20.69466781616211
2018-02-12,38.39154052734375,69.3115005493164,52.40869140625,82.57982635498047,21.048667907714844
2018-02-13,38.77615737915039,70.72550201416016,52.41666030883789,83.22840118408203,21.577333450317383
2018-02-14,39.49107360839844,72.55249786376953,53.293514251708984,84.53157806396484,21.487333297729492
2018-02-15,40.8171272277832,73.08799743652344,54.280967712402344,86.25366973876953,22.271333694458008
2018-02-16,40.68498992919922,72.43450164794922,54.54402160644531,85.63932037353516,22.365999221801758
2018-02-20,40.54814147949219,73.4175033569336,54.9256477355957,86.30952453613281,22.31800079345703
2018-02-21,40.36409378051758,74.14600372314453,55.36806106567383,85.16455078125,22.219999313354492
2018-02-22,40.70151138305664,74.26699829101562,55.133399963378906,85.38797760009766,23.077999114990234
2018-02-23,41.409366607666016,75.0,56.137794494628906,87.556884765625,23.469999313354492
2018-02-26,42.22810745239258,76.09750366210938,56.98275375366211,88.82286071777344,23.827999114990234
